movieId,tagenc
2660,9110 784 9810 11443 16862 16868 7336 9110 16862 3660 9110 9810 16502 9110 284 904 2023 2024 9110 13291 16862 16868 14636 11443 11943 13291 3660 16868 5768 9810 16502 
2661,14421 14421 14421 14421 6748 904 2023 2024 7770 9110 9941 11112 6748 11943 13291 14769 6748 16868 
2662,14421 8989 9541 14421 14421 14421 3001 14421 1409 3088 14421 9541 9741 1713 10721 12031 16484 14421 16381 16861 14421 10721 10721 14421 14421 9106 9110 1713 12031 3258 6034 16484 16861 18058 14421 14421 6034 14421 14421 14421 14421 14421 1409 14421 14421 3258 9110 9741 9810 10020 1713 3404 16484 14421 14421 10721 10721 14421 1713 16484 14421 904 1415 9106 9110 1713 1782 3088 3404 16484 9106 9110 8180 1782 14421 14421 
2663,904 905 2024 12696 14774 6750 
2664,11570 2462 2469 12962 14551 15439 15636 18108 16835 2462 15636 114 9110 12962 13291 15439 15636 16862 18108 2371 12014 15636 7336 14851 114 9110 2462 2469 16862 16862 13291 15636 18108 114 1118 2371 114 12014 13291 15636 16862 114 9110 2371 16862 9110 13487 13291 18108 114 284 7906 9127 2023 2024 16589 2371 11943 13291 16868 12014 5768 2462 13291 15636 16862 18108 8344 
2665,905 2023 2024 9110 893 11596 12405 15332 6750 
2668,5994 8681 2001 123 12067 13291 13532 14769 16862 16878 17962 10877 2001 15357 
2669,4949 
2670,17121 17854 8798 17854 8798 7005 17854 8798 9810 17854 8798 19293 9810 17854 8798 1772 7005 8798 19293 
2671,13053 1325 3668 14185 16685 1325 10564 3668 3668 14257 16685 9049 12711 3668 6174 16685 1325 3249 3668 1325 4543 14111 16685 10860 11298 3249 4543 16685 1325 10564 2620 3668 4543 16685 6845 3668 1325 3249 3668 4543 16685 10121 1325 2620 12711 3668 4543 5004 15592 16016 16685 18712 18742 9049 10564 12711 3249 3668 4543 10564 12251 10564 11581 12711 10564 3249 11663 16685 12711 10564 11581 3668 4543 16685 11731 1325 10564 12711 3249 16685 4543 10564 10764 10860 11298 11663 12541 13963 16016 16685 3249 3668 1325 4543 16685 5727 10564 3249 3668 4543 16685 10543 13963 16016 16987 6845 7045 16685 10564 12711 1325 3668 6174 1325 11663 2620 3668 4543 16685 18777 16689 1325 10564 13053 2620 12541 3668 4543 16685 9049 3668 4543 1325 18712 12711 11731 15602 16691 1325 4543 16685 3249 6845 12039 3249 1325 3249 3668 4543 259 15442 6174 19118 12770 12711 10121 1325 3668 4543 16685 3668 4543 1324 1325 2620 5004 
2672,11763 13421 18914 11510 18914 9148 9635 9904 11763 15060 16346 17307 18914 18915 18914 9148 13421 17307 18914 18915 12908 12926 3353 17307 9148 8540 797 3353 17307 18914 17307 18914 9148 9904 11763 18914 9148 17307 15479 18915 11101 6630 16346 18914 9148 9904 11763 12908 12926 13421 15060 17307 17308 18229 18914 18915 18914 9148 12926 9148 11101 15479 17307 9148 18914 9635 13421 17307 18914 9148 17307 18914 9904 17307 17308 16346 3353 17307 18914 15060 18229 13421 17307 9148 11101 6630 16346 17307 18914 
2673,3231 3231 
2674,5987 15353 
2675,14090 
2676,9329 4446 
2677,8760 14912 13233 14910 14912 14935 164 8760 1488 1965 3498 4858 14042 14935 3763 11193 13333 11193 14935 14935 10945 14119 14123 14911 5137 15416 15442 13333 
2678,
2681,15357 7731 16884 17937 8755 
2682,4410 2093 2735 3310 5686 8416 2025 
2683,12541 5558 15651 16450 18251 11110 2559 3517 4079 5558 6931 7002 8158 15651 12541 3578 3955 5558 17796 15651 3578 15651 3517 4079 5558 12426 15651 17602 2559 5558 17602 15651 17032 3955 18251 3578 15651 17602 3517 5558 7002 9679 3578 3578 5558 17334 15651 12823 15651 17602 18251 2995 7571 3517 3517 3578 5558 3955 15651 3410 16987 5558 16987 4079 3517 5558 15651 18251 5558 15651 13051 1974 15380 15651 17334 17602 17796 5558 15651 3955 14890 15651 18251 17602 12823 3359 17796 13174 3517 7571 17796 1974 12541 3517 3578 5558 15380 15651 17796 1974 12541 3359 13051 3517 3578 3955 5558 14890 15380 15651 16987 17032 7571 17334 17602 17796 8158 18251 8722 15651 15651 17602 1974 3578 15380 15651 17032 17334 17796 10975 15380 17796 905 3359 5558 8722 1974 17334 5515 5558 7002 17032 17602 12541 15651 17796 5558 3410 5558 3359 
2686,14935 14892 14910 14892 14910 9871 9879 10588 14876 7270 5124 19197 4312 5991 5994 7270 9879 13019 14876 14892 14910 7270 9879 5727 2938 9879 13204 14910 14935 9879 11930 7270 15357 14892 9871 13204 5644 14876 14935 9871 9879 2025 9368 9488 10588 10901 10945 2005 12452 13019 13101 13320 13598 14069 14099 14114 14761 14764 14876 14908 14935 15518 15520 16424 18039 18042 18908 19233 8598 9871 
2687,8989 2320 2317 6455 2317 4021 6455 2317 2318 6455 17512 6455 18520 2317 147 4021 4834 7106 4021 2320 2504 12805 2317 147 380 1668 23 2317 2504 6106 6455 11549 12835 15737 2317 147 2318 2317 10765 16016 18152 12748 12805 2317 
2688,4417 16329 16329 5988 14646 16329 7579 9810 11048 11085 14646 15353 16329 18612 16329 
2690,8982 8996 15824 1533 4551 5592 1325 6154 8996 1533 2621 4175 4551 5592 6374 15824 7135 2621 7061 8996 1325 15824 11053 6154 6374 6043 10860 11053 11901 13195 16604 16685 19201 9818 6154 7061 7135 1145 
2691,11915 12936 14910 4927 8159 12936 14910 11915 12936 12936 11915 8159 3198 9476 14910 12936 8159 8159 14114 14910 
2692,17937 18251 8649 9024 1879 13383 18246 9146 13632 15319 15506 18248 9146 15206 18251 9429 15206 17937 17937 9148 15206 11786 13361 14324 17370 19121 9146 13361 15206 18225 19121 9146 9429 15206 17937 2928 13632 13125 15319 17937 18251 9297 9429 13632 15319 18225 18251 18928 17937 18251 9146 9148 9297 9429 10201 12053 12055 2928 13632 15319 15506 17174 17176 17177 17937 18225 18251 18928 9146 563 9146 9297 10309 10411 12571 3156 13125 15506 16552 17236 3156 13632 12530 18225 9146 13361 13459 15206 17937 9146 9429 13632 15206 18225 18251 12672 9146 9148 15319 18225 18248 19121 9146 9148 12936 13166 15506 18251 9297 9429 12053 2928 3156 13125 13632 5657 15206 15506 17937 18225 18928 1029 18928 9297 13632 9429 17937 18225 18251 19121 13459 9146 9429 13632 17937 18225 9429 13632 15206 15319 15506 17937 18225 18928 19121 15206 9146 17937 18251 15319 9146 9429 12055 13361 17937 18225 18251 9146 9297 15206 9146 9429 13632 15319 18251 9146 12541 15206 17937 18248 9146 9148 9429 12055 15206 17937 18225 18248 18928 9146 9146 9429 13632 15506 3156 15206 15319 17937 18225 12055 15206 18225 15479 15319 17937 9146 9146 9297 13632 17937 5727 16246 9146 13361 15206 15319 17937 9024 9146 9148 9297 9429 2928 3156 13125 13361 13459 13632 15206 15319 15506 17937 18225 18246 18248 18251 19121 13361 15506 17937 18225 16987 152 8237 9146 9297 9429 13459 15206 18248 13632 13632 15506 18248 18251 14122 9146 2928 3156 15206 9146 9297 12055 3156 13125 17937 9148 9429 2928 13125 13459 5657 15319 18248 12678 8237 9146 9148 12936 13361 18225 17937 18251 15506 13680 9429 3156 13125 15206 17937 19121 9146 9148 13632 16430 18248 9146 9297 18225 18248 9148 12053 12055 15206 17937 9429 18822 563 13166 9146 6629 9146 13632 15206 17937 17829 18861 10190 9146 13361 15206 15319 17937 9024 9146 9429 12055 13125 13361 13632 15206 15506 17937 18225 18251 18861 19121 15206 17937 563 9146 11008 11059 12787 9146 13125 13632 9148 15319 15506 18928 9146 9429 3156 15206 15206 18251 15206 19121 12055 11485 9429 12055 13632 15319 15506 18225 19121 9296 14111 9146 12055 2928 15206 15319 17937 18248 8344 15206 17937 18251 
2693,7731 2995 7731 13326 12621 7731 10445 11055 11390 12621 16265 7731 18098 16265 12621 7731 18098 7731 2023 2024 4609 
2694,8649 13174 350 12541 350 4784 6936 7776 350 2288 15264 11376 350 6936 350 2244 350 6936 7776 350 6936 12541 350 15645 350 13174 15645 3232 350 
2695,14090 7114 
2696,6807 6814 10721 2967 2968 3935 6807 8110 12541 10860 2967 2968 12541 3935 8110 18824 2967 12541 2907 12541 8110 9818 10860 2899 
2697,2620 13705 14936 16408 8397 13465 3861 16484 
2699,17579 8957 17580 1463 17579 10268 4124 14502 8957 10860 13291 17579 17935 17579 9716 2920 17579 10268 17579 10268 17579 14811 17579 17580 2437 199 1428 7691 17579 17935 18127 17579 
2700,16806 984 19345 9021 10454 10992 12483 12541 13701 16265 16806 17519 9021 11176 12483 14926 16797 17519 8324 10008 12470 12823 13701 16265 16351 16810 8324 7666 984 10454 10992 13701 5341 14926 15651 16806 16987 8324 18979 18979 13174 14926 16806 9021 10454 15651 16806 17519 9021 10454 10992 11176 12483 12541 12823 13701 16265 16351 14926 16806 9021 12483 16806 1229 5132 11176 16806 13607 9021 11176 15651 16810 14926 16987 15651 16806 9021 697 10454 10992 11176 12483 12541 13701 15651 16806 16810 9021 11176 14926 15651 697 17820 16806 16806 15651 16806 10992 11176 12541 16265 16806 164 8324 9021 16265 16806 16351 14926 16806 17519 9021 10454 15651 9021 12483 5129 15651 16351 17966 2663 148 9793 9808 10992 11176 13701 15651 16806 17870 11561 14469 12541 13060 16983 9021 11176 11127 12483 7302 697 984 5341 15651 8324 9021 697 984 9806 10454 10992 11176 12483 12541 12823 14926 15651 16265 16806 16810 7666 17820 8324 18979 9021 10454 11176 12483 13701 15651 16806 16810 15651 16265 16806 10992 13701 14926 16265 16806 15651 16806 8463 9021 10454 10992 15651 16806 16806 12541 14926 15651 16265 16797 16806 17519 8324 18973 15442 15398 9021 12483 12541 16265 8344 3410 
2701,985 1027 17839 19168 8728 5991 7240 16862 17691 17839 971 8728 14012 17691 1856 4706 8728 8728 17439 5991 10860 14322 5991 7240 8728 17691 5727 17691 8728 17691 9965 3234 14322 17691 19118 19119 8728 17691 9808 9965 17691 8957 9808 9965 10860 17691 17839 15412 17691 8728 14322 17691 19119 8728 4687 4706 5991 17691 17691 17839 2024 18173 4706 17691 8728 17691 8728 17691 4687 18543 3234 14114 14322 19118 19119 8728 16862 17691 18199 8728 
2702,14900 17047 17047 5994 7696 15357 17047 
2704,5987 2239 4931 4931 14111 1145 
2705,6055 15357 
2706,5993 5994 17164 18075 13162 5993 5994 17164 18075 8009 18912 549 3359 5993 5994 17164 10860 13162 11727 17796 10890 17500 6339 18070 560 18075 10860 12541 5993 5994 7390 17164 18912 9916 13162 5993 13162 10860 13162 17164 5684 13174 12541 17164 18912 549 1701 10860 12541 3359 13162 5993 5994 7387 7390 17164 17285 17357 17705 17796 18070 18075 18261 18912 16934 12970 3359 17796 10860 18070 17796 5993 18070 9641 5993 549 5993 7390 549 12541 3359 13461 13884 17285 17357 17705 18075 10860 15264 17164 18089 11727 17167 17796 10860 13162 17164 9009 13162 18091 18070 10860 13162 17164 17705 10860 12541 13162 5993 17164 17285 8009 18091 15792 18089 5993 10860 15264 5993 17796 18075 8009 18912 8009 155 10860 17796 14550 549 1679 1701 10860 13162 4051 7390 17164 7501 17357 18075 9916 1679 11727 4051 15264 15792 7390 18070 18261 13162 15357 18070 18912 10860 12541 13358 13361 10132 11197 5994 17167 560 10132 10860 12541 3359 13162 15264 5993 5994 7390 17164 17285 17705 17796 18070 18075 8009 18912 10860 18070 5993 17164 18075 18912 17796 15602 5993 18070 13162 5994 18075 8009 18912 13174 18089 12621 17034 17164 17357 17796 18075 18070 549 12541 5409 7387 7976 10860 12541 18075 8009 10860 13162 12970 9916 3359 
2707,6179 10976 4123 4123 10976 11115 14851 12908 10976 12908 10976 4123 18128 5253 10977 10977 10977 10976 13938 17589 18128 8432 10608 11115 4123 15442 11115 1145 1809 6629 10977 
2708,2657 2657 6191 
2709,14899 13954 16228 2752 4137 6751 6936 13954 14899 16228 12541 14899 14899 9808 12464 16229 18007 
2710,11132 12456 13291 14279 14659 14744 6 10132 15592 11570 14279 14659 5897 15506 16835 17952 14279 14659 16835 8508 11570 6 10132 3233 15369 10132 11724 3448 15297 15592 10056 10132 14279 6 11132 3448 13291 14279 5897 15506 16835 18740 8508 3448 10132 3233 14659 15369 16835 11132 11886 14279 16835 17952 9059 11132 3809 14659 16835 12267 8508 3448 18740 3448 9469 11132 14279 19193 11570 14744 17912 17952 11132 12440 13291 14279 14744 14279 10341 11750 10132 14744 14659 11570 14279 9469 11132 12456 14279 15506 16835 17952 15297 18740 15592 11132 3448 3809 14279 14659 15506 15592 3448 14279 12440 12456 13291 14279 15506 16835 10132 10708 12267 3233 3448 14659 14744 15369 15592 16835 19267 14744 10132 3448 14279 14744 11492 12440 12456 14279 14744 17192 15592 11132 11570 3448 3809 15506 16835 18740 19193 3809 10708 18849 14279 5897 16595 10132 6 14279 15592 14279 15369 12456 6 9469 11132 11570 9469 11132 3448 13291 14279 15506 16835 17952 18108 18110 16835 11492 12440 14279 14744 15506 12267 3233 14279 18850 14279 5897 15506 16835 17952 11132 13291 14279 14744 16835 18740 6 9469 11132 11570 14279 14659 14744 15506 16835 17952 14279 8344 
2711,3669 
2712,9469 11678 5872 7727 18229 8212 7727 9469 15319 7727 8212 11678 16192 17164 7727 7727 17164 18956 9469 11678 11911 18229 4903 5872 7727 9469 11372 11678 11911 14046 14789 5872 5987 17147 9469 11678 7727 18753 9469 11570 11678 5987 16192 7727 17937 18229 9469 1721 11570 11678 11679 5872 15319 16192 17164 7727 17937 18229 9469 15635 17164 17937 17941 18229 1721 11678 13376 13559 5872 15319 15635 17164 7727 8212 18956 5949 7727 11678 11911 15352 15635 16192 17164 17662 17937 18229 7727 15113 18302 9469 11678 11679 11911 11946 5822 5987 5988 16987 17147 7727 18229 8212 18956 5987 7727 5988 10659 13114 14438 16955 9469 11678 5872 15635 16192 7727 8212 16987 9469 16192 8989 9469 9810 1721 11678 11911 14420 5822 15319 5987 5988 15635 18229 8212 11570 11678 16192 1721 15439 17937 18108 18956 2680 5987 17147 17164 9469 11678 11911 15319 5987 17164 7727 8212 11911 15319 7727 8989 9469 1721 11372 11570 11588 11678 11703 11911 14402 14420 14436 5822 5872 5987 5988 15504 15635 6629 6643 6644 6657 16955 17147 17161 17164 7727 8212 18424 18956 19055 11570 11911 1280 2680 5872 8212 18956 5872 5987 9810 1721 11679 11946 13376 5822 5872 15319 16987 17147 7727 7917 18229 8193 8212 18956 11678 11911 7727 8212 12678 18068 16192 17164 11679 15353 7727 5822 5872 5987 8212 7727 9469 15319 17164 7727 8212 17164 16983 11566 11567 9469 11678 11679 5822 5872 15319 16987 17147 7727 8212 18956 5872 5987 15635 17164 18956 7425 5872 9469 11570 11678 15319 5987 5988 16192 17164 7727 17937 18229 9469 11911 15319 5987 18068 905 2025 8463 9469 1721 11678 11911 14046 14789 15319 15439 15504 15635 16192 7727 17937 18229 9469 11678 7727 11943 7727 10444 14436 16377 17154 1145 4903 8344 5872 7727 8212 
2713,7788 12693 12693 
2714,7986 
2715,15357 
2716,1161 1027 12688 10721 12688 14779 5822 15637 16273 16862 17912 1161 12688 13293 1161 10721 12688 13174 13293 14963 5822 15384 15637 16273 7567 17912 14963 17912 1161 12688 13293 5822 15364 15384 15637 6902 16814 16862 7567 7931 1161 10721 1161 3880 1161 2043 12688 12688 1161 2043 3475 6902 1161 1161 10860 2042 3475 10721 15384 16273 725 1161 1775 2043 2676 3169 3475 6262 6902 7567 1161 1161 1161 2043 12688 8957 17912 1161 10721 10860 12688 17912 13293 10721 13174 16273 8957 1856 2803 12688 14779 15637 8957 2803 12688 5822 1161 2043 12688 13293 14779 16273 6902 16862 7567 3166 10860 12688 5822 15384 15637 7567 12688 2021 7931 7946 200 1161 17912 1161 2043 10860 12688 16862 1161 13174 1161 10860 1161 12688 13174 16273 16814 7567 3475 3880 8957 1161 10721 10860 12688 5822 15384 15637 16862 7567 17912 1161 2043 1161 10860 2043 12688 5822 16862 6191 12688 1161 2042 23 282 1161 10860 12688 15637 16273 12688 14779 16814 335 10860 12688 12936 5822 15637 16273 17912 9049 12688 1161 10721 2043 16273 199 282 1161 12688 7311 12688 7567 1161 1161 10860 12688 13293 14963 15384 15637 15639 16862 8957 1161 10860 12688 13174 15384 15637 6902 7567 1161 12688 10721 10860 13174 13293 14963 5822 15637 16273 1161 16862 15639 10860 2043 14963 5822 15637 6902 15411 1161 10721 10860 17912 1161 10860 16814 199 615 1428 1161 12688 17159 10860 14963 15637 7567 1161 10860 2043 12688 7567 15364 15384 1161 2041 6902 7567 5805 1161 12688 14963 10860 12688 1161 12688 8344 12688 
2717,1027 12688 12688 335 3169 1161 10860 5820 5822 8703 10860 1161 10860 2043 12200 17912 586 1161 10860 2043 12200 3169 15637 17389 17912 10860 12200 3169 18624 1161 2042 12688 3169 335 10860 12200 8703 335 1161 10860 2043 3169 15384 15637 16016 7567 17389 1029 12688 6426 16589 10860 3169 18624 1161 2041 7567 10860 3169 1161 2043 12200 15637 7567 8703 10860 3169 
2718,10540 10025 14693 10540 14744 10540 10025 2997 14744 602 2977 2997 10540 602 10025 4754 10540 9882 10540 9882 12150 4754 14561 
2719,11755 17843 6175 1543 1543 4951 5708 12444 4951 13080 4020 16834 13080 16516 16516 9865 11279 13080 7334 9698 4951 6175 18173 18698 
2720,9301 984 9301 9808 9301 984 
2721,1974 3070 12611 15961 16253 15961 1974 2995 3070 12611 6068 15961 12596 3070 5190 5822 15357 16253 1974 1974 3070 12611 15961 1974 2995 3070 6068 2995 3070 12611 3070 
2722,16016 18668 3001 8123 18668 9762 16016 17204 13575 9741 17204 1943 16611 17204 18668 8123 18668 13174 9741 13174 18668 9741 16016 6822 9741 9762 16016 16611 17204 18668 6822 4818 6822 17204 7741 9285 17204 16983 19015 13174 16611 7270 17206 13174 13174 4818 16016 6822 17204 
2723,17897 17904 15651 14021 18326 18660 17897 17906 18976 17906 11529 2495 17897 17906 17897 17906 10860 13174 4913 15651 16265 15651 17904 17906 17897 17906 17904 10860 15651 17904 17904 8239 8743 17897 17906 17897 17906 3338 2495 3338 14021 15651 8239 18660 12782 14021 14232 17904 3338 
2724,4543 6870 17398 19067 13053 1633 4543 6870 1633 4543 19064 12390 13715 7061 3249 3249 4543 17398 5317 5814 5821 16887 17398 19064 19271 7061 3045 11625 4271 4543 6870 18777 17398 13053 19064 19277 13840 4543 6870 7061 19067 4543 16691 3249 16689 14636 6870 
2725,5490 10968 17264 18549 14636 
2726,15189 15189 15189 15189 13459 15189 15189 13459 7727 15189 13125 15189 15189 15189 15189 15189 15189 7727 15032 13459 7727 15174 17877 17902 18670 15189 15189 2975 13459 7727 13459 7773 15189 15189 13125 7727 15189 10020 16237 1955 7727 15189 15189 15189 15189 7727 7773 13459 7727 15188 10020 13125 13459 15189 13125 1463 7727 15189 5806 15189 7727 15189 15189 2023 2024 8463 15189 15189 8344 
2727,14401 9776 11271 2023 8463 9776 10157 10521 11271 14401 15040 15442 17236 18998 7727 
2728,17850 13975 11372 11771 12434 14046 15866 16709 17970 17364 10695 17385 7727 1183 7072 17364 17981 13266 4753 6095 16685 7727 7072 7727 17981 15866 1785 13195 14198 7072 17364 4580 13459 1955 1183 3602 7072 17364 1183 1183 3602 7072 7727 1955 7727 11372 11771 15866 1183 17981 9810 11771 14198 7060 17364 13195 7727 9810 7727 7072 17364 281 284 6095 6112 6095 6112 6112 1183 3602 15866 7072 7727 199 905 1121 1428 2025 7883 1183 11943 7727 1593 3562 4753 8257 14111 7072 8344 
2729,8989 909 10992 11946 5371 7727 18105 11946 4789 9810 7727 10008 11249 16810 17170 18013 18939 11663 11946 4789 9810 10992 3989 4789 5371 15377 6436 7727 15377 15635 6436 14162 14162 17170 10008 10992 11249 13925 14162 14192 5371 15377 15635 6436 16810 7727 18939 7727 16685 7727 9810 3989 7727 7727 7727 11249 11946 15635 16810 17170 9810 10992 11946 13925 5371 18105 18939 10992 15377 6436 7727 905 1121 1428 2025 13925 15377 15635 6436 7727 14162 9810 10008 10992 11663 3989 5371 15377 6436 17170 7519 7727 18013 18105 9810 10992 11946 13925 15377 7727 18105 14114 14192 3989 6436 7519 7727 8344 
2730,15751 17373 17384 103 9469 11249 11372 11648 2763 14046 6663 7198 17487 19286 7727 14046 7727 19286 9469 10695 17373 9728 17373 5992 103 14989 15751 17373 7727 103 9469 11249 4789 6673 17373 7727 103 9469 10695 14910 14989 14198 14910 9469 4789 14046 7727 103 9404 6095 6375 17483 7727 19286 6375 12679 13231 103 4789 14198 14989 6095 7727 7727 10683 4789 17373 17487 19286 11249 6095 17373 7727 103 4789 7727 6095 6095 12242 16312 4789 9469 11249 14046 5976 15751 7727 15720 14910 15751 9469 14910 7727 905 1121 2025 10695 7727 10132 4789 14046 5976 17373 7727 10156 10683 14046 14533 14989 6095 6673 16849 9469 10132 14198 7169 17373 7727 14989 17695 8344 
2731,10595 2899 2910 14308 15085 6266 16438 16723 11196 2899 6266 16855 9734 10020 11486 2899 15831 12660 13107 14308 5118 16438 10595 10608 10020 10608 18847 15032 10608 11196 18976 13459 1955 2910 15085 6266 10608 11196 2899 15047 15085 6266 16723 18042 1118 10608 1955 11196 2899 13459 4034 6266 16438 18042 19326 10595 11860 16438 1118 1955 2940 12660 5907 16438 2910 1955 11196 16438 11492 16977 3763 15720 2025 12487 16438 14111 19326 8344 2899 2910 6266 
2732,9469 10011 14308 14789 16438 18013 9469 12502 14269 16438 4034 12494 2967 14269 1955 2940 2910 9810 14269 2969 9469 9810 10011 2910 18013 13501 15720 2025 9881 14533 1145 8344 
2734,11419 13707 14557 14557 6013 14557 14557 14557 14557 11761 3480 16317 6921 8989 9581 1557 11761 5360 14723 15004 15377 16317 14557 18751 14557 3480 16317 18751 14557 9810 13865 4858 18432 1121 2025 
2735,211 11386 2497 12314 5021 5160 18962 5496 2497 13925 11625 1121 
2736,8982 9818 5795 13793 1121 10860 
2737,1121 
2738,76 1121 
2739,17581 17581 7806 16329 18659 19222 1029 17581 6076 8705 17581 11859 8705 17581 17581 14083 76 7806 7806 7806 8705 17581 17581 76 14083 7806 8492 16283 19215 8956 13511 16329 11859 17581 281 14083 7806 13511 16283 16329 7806 18659 8706 19215 19222 1121 1428 1029 13511 16329 16589 11943 7806 8706 19215 
2740,1121 
2741,1121 
2742,17450 3155 1088 3396 
2743,1121 
2744,2908 
2745,1756 2628 4173 7656 3231 2628 7053 1547 1713 10837 14446 5770 16484 17364 5608 6576 14577 6095 14577 2021 199 615 1121 1547 5608 6576 16484 1713 10837 14446 14577 17364 5805 1145 3231 8344 1756 10837 4173 16484 
2746,11282 14926 14910 2922 10025 11287 10025 11282 3311 6902 7784 2094 5704 5947 11282 14769 6902 16758 7784 11199 5947 11282 14926 10222 11282 14910 2922 10025 10222 11287 3311 14926 16758 7784 16516 11282 2922 199 1121 1428 7691 2922 6902 
2747,7040 16502 904 2025 14114 8344 
2748,5410 9025 9692 9810 12464 3970 14240 15831 16293 16294 6859 17032 7509 16219 1121 
2749,1121 
2750,7464 8791 10132 10595 14910 5821 15219 18875 8791 5991 15218 15219 16308 7464 8791 8791 12124 15219 16308 15218 16308 8791 8791 16977 2025 16589 11943 8791 
2751,10143 11226 2561 14900 19201 11081 1121 9004 
2752,1124 8954 14269 1121 1428 
2753,15357 1121 
2755,1121 8463 
2756,1121 
2757,4208 4700 14557 1121 2025 11943 110 259 9462 11620 11830 3620 14182 14556 15214 5992 16182 18230 18520 
2758,1121 1428 
2759,11282 16265 6886 8390 8652 119 8652 18976 642 
2760,9810 2385 
2761,8537 8989 9599 16656 16660 9297 9810 10746 11860 12502 4147 16428 16660 17398 8537 10825 16656 16660 13926 16656 10746 13691 12698 16660 114 8989 9297 11860 4147 16428 16656 16660 9297 12698 4147 8537 10825 16656 16660 9297 11860 12698 16887 114 148 8989 9104 9599 1027 10825 11492 11860 12502 12698 4147 13866 13926 5168 14831 15635 6191 6219 7421 17010 17318 17398 7886 8537 5727 9297 11860 12502 12698 16660 17010 9297 1261 17882 23 10310 9297 9810 16660 9297 16660 148 9110 9810 10825 11492 14646 16660 17398 9297 9810 10825 16428 16656 16660 17010 12502 16656 17318 17398 9297 10746 13926 16656 10825 11860 14831 8537 9297 9810 1261 10746 11492 11860 12698 12932 13691 4147 16428 17010 17882 8537 177 8463 9297 16660 9297 10825 11943 16656 114 9297 11860 16578 17744 12698 0 852 14592 10825 16660 8344 114 9297 852 9810 14646 15635 16660 
